Case Number,JP Court ID,Citation Number,Filed Date,Offense Code,Offense Description,Statutory Cite 1,Statutory Cite 2,Arresting Agency Code,Arresting Agency Name,Officer Code,Officer Name,Plea Code,Plea Date,Disposition Code,Disposition Date,Judgment Date,Def Date of Birth,Def SPN Number,Def SPN Pointer,Def Gender,Def Race,Total Fines Assessed,Total Fines Due,Total Costs Assessed,Total Costs Due,Balance Due,Total Paid,Last Bond Set Date,Last Bond Posted Date,Last Bond Amount,Next Hearing Desc,Next Hearing Date,Next Hearing Time,Last Open Warr Type,Last Open Warr Date,court_number,case_type,Age At Filing,Minor,Cost Assessed,Fines Paid,Warrant Issued,DEF_ID
231100025588,"Precinct 1, Place 1",00-EE20188468,2023-01-20,820108,Expired Registration,502.407,,0.0,Harris County Sheriff's Office,S28813,"Perez Garcia, Hiram J",NG,03/30/2023,DIS,10/29/2024,10/29/2024,2005-03-01,,,M ,W,0.0,0.0,0.0,0.0,0.0,0.0,01/30/2024,09/13/2024,200.0,Jury Trial,10/29/2024,08:00,Arrest Warrant,01/30/2024,JP 1-1,CRCIT,17.0,1,0,0,1,roMa20050301
231100025589,"Precinct 1, Place 1",00-EE20188468,2023-01-20,820112,No Driver's License,521.021,,0.0,Harris County Sheriff's Office,S28813,"Perez Garcia, Hiram J",NG,03/30/2023,DIS,10/29/2024,10/29/2024,2005-03-01,,,M ,W,0.0,0.0,0.0,0.0,0.0,0.0,01/30/2024,09/13/2024,200.0,Jury Trial,10/29/2024,08:00,Arrest Warrant,01/30/2024,JP 1-1,CRCIT,17.0,1,0,0,1,roMa20050301
231100025590,"Precinct 1, Place 1",00-EE20188468,2023-01-20,540097,Fail To Maintain Financial Responsibility,601.191,,0.0,Harris County Sheriff's Office,S28813,"Perez Garcia, Hiram J",NG,03/30/2023,DIS,10/29/2024,10/29/2024,2005-03-01,,,M ,W,0.0,0.0,0.0,0.0,0.0,0.0,01/30/2024,09/13/2024,500.0,Jury Trial,10/29/2024,08:00,Arrest Warrant,01/30/2024,JP 1-1,CRCIT,17.0,1,0,0,1,roMa20050301
231100090003,"Precinct 1, Place 1",00-EE20194439,2023-03-06,540097,Fail To Maintain Financial Responsibility,601.191,,0.0,Harris County Sheriff's Office,S00499,"Castillo, Victor, Jr.",,,,,,2005-07-01,3195018.0,,M ,B,253.0,253.0,246.2,246.2,499.2,0.0,11/14/2024,,500.0,Non Appearance Show Cause,06/03/2024,14:00,Arrest Warrant,11/14/2024,JP 1-1,CRCIT,17.0,1,1,0,1,neCaSm20050701
231100090004,"Precinct 1, Place 1",00-EE20194439,2023-03-06,820104,Speeding Greater Than 10% Over Posted Speed,545.355,,0.0,Harris County Sheriff's Office,S00499,"Castillo, Victor, Jr.",,,,,,2005-07-01,3195018.0,,M ,B,90.0,90.0,266.2,266.2,356.2,0.0,11/14/2024,,200.0,Non Appearance Show Cause,06/03/2024,14:00,Arrest Warrant,11/14/2024,JP 1-1,CRCIT,17.0,1,1,0,1,neCaSm20050701
231100090090,"Precinct 1, Place 1",00-EE20194489,2023-03-06,820112,No Driver's License,521.021,,0.0,Harris County Sheriff's Office,S28813,"Perez Garcia, Hiram J",,,,,,2005-07-01,,,M ,W,98.0,98.0,199.7,199.7,297.7,0.0,01/31/2024,,200.0,Non Appearance Show Cause,08/10/2023,15:00,Arrest Warrant,01/31/2024,JP 1-1,CRCIT,17.0,1,1,0,1,roEmMe20050701
231100090091,"Precinct 1, Place 1",00-EE20194489,2023-03-06,820790,Unapproved Sunscreen Device,547.609,,0.0,Harris County Sheriff's Office,S28813,"Perez Garcia, Hiram J",,,,,,2005-07-01,,,M ,W,55.0,55.0,255.7,255.7,310.7,0.0,01/31/2024,,200.0,Non Appearance Show Cause,08/10/2023,15:00,Arrest Warrant,01/31/2024,JP 1-1,CRCIT,17.0,1,1,0,1,roEmMe20050701
231100194121,"Precinct 1, Place 1",00-EE20205635,2023-05-25,820104,Speeding Greater Than 10% Over Posted Speed,545.355,,0.0,Harris County Sheriff's Office,S00499,"Castillo, Victor, Jr.",,,,,,2005-12-01,,,M ,W,85.0,85.0,264.7,264.7,349.7,0.0,03/04/2024,,200.0,Non Appearance Show Cause,09/14/2023,14:00,Arrest Warrant,03/04/2024,JP 1-1,CRCIT,17.0,1,1,0,1,doDaBa20051201
231100246445,"Precinct 1, Place 1",01-EE20044466,2023-07-04,540097,Fail To Maintain Financial Responsibility,601.191,,1.0,Harris County Constable Precinct 1,C10981,"Mathew, Kevin",,,,,,2005-12-01,,,M ,W,253.0,253.0,246.2,246.2,499.2,0.0,08/17/2024,,500.0,Non Appearance Show Cause,02/19/2024,14:30,Arrest Warrant,08/17/2024,JP 1-1,CRCIT,17.0,1,1,0,1,anAnSa20051201
231100246446,"Precinct 1, Place 1",01-EE20044466,2023-07-04,820112,No Driver's License,521.021,,1.0,Harris County Constable Precinct 1,C10981,"Mathew, Kevin",,,,,,2005-12-01,,,M ,W,98.0,98.0,199.7,199.7,297.7,0.0,08/17/2024,,200.0,Non Appearance Show Cause,02/19/2024,14:30,Arrest Warrant,08/17/2024,JP 1-1,CRCIT,17.0,1,1,0,1,anAnSa20051201
231100246447,"Precinct 1, Place 1",01-EE20044466,2023-07-04,820459,Disregard Traffic Control Device,544.004,,1.0,Harris County Constable Precinct 1,C10981,"Mathew, Kevin",,,,,,2005-12-01,,,M ,W,85.0,85.0,264.7,264.7,349.7,0.0,08/17/2024,,200.0,Non Appearance Show Cause,02/19/2024,14:30,Arrest Warrant,08/17/2024,JP 1-1,CRCIT,17.0,1,1,0,1,anAnSa20051201
231100265712,"Precinct 1, Place 1",01-ee20044467,2023-07-05,820108,Expired Registration,502.407,,1.0,Harris County Constable Precinct 1,C10981,"Mathew, Kevin",,,,,,2005-12-01,,,M ,W,18.0,18.0,175.7,175.7,193.7,0.0,08/17/2024,,200.0,Non Appearance Show Cause,02/19/2024,14:30,Arrest Warrant,08/17/2024,JP 1-1,CRCIT,17.0,1,1,0,1,anAnSa20051201
231100342308,"Precinct 1, Place 1",01-EE20046107,2023-09-16,820112,No Driver's License,521.021,,1.0,Harris County Constable Precinct 1,C10962,"Early, Trevian",NC,01/06/2025,,,,2005-10-01,,,F ,W,98.0,98.0,81.0,81.0,179.0,0.0,08/15/2024,,200.0,Non Appearance Show Cause,01/06/2025,15:00,Arrest Warrant,08/15/2024,JP 1-1,CRCIT,17.0,1,1,0,1,toCi20051001
231100377040,"Precinct 1, Place 1",00-EE20223269,2023-10-13,820112,No Driver's License,521.021,,0.0,Harris County Sheriff's Office,S28813,"Perez Garcia, Hiram J",,,,,,2005-11-01,3218754.0,,M ,W,98.0,98.0,199.7,199.7,297.7,0.0,11/14/2024,,200.0,Non Appearance Show Cause,06/10/2024,13:30,Arrest Warrant,11/14/2024,JP 1-1,CRCIT,17.0,1,1,0,1,orAc20051101
231100377041,"Precinct 1, Place 1",00-EE20223269,2023-10-13,820171,Fail To Control Speed,545.351,,0.0,Harris County Sheriff's Office,S28813,"Perez Garcia, Hiram J",,,,,,2005-11-01,3218754.0,,M ,W,95.0,95.0,267.7,267.7,362.7,0.0,11/14/2024,,200.0,Non Appearance Show Cause,06/10/2024,13:30,Arrest Warrant,11/14/2024,JP 1-1,CRCIT,17.0,1,1,0,1,orAc20051101
231100377042,"Precinct 1, Place 1",00-EE20223269,2023-10-13,820170,Fail To Drive In Single Lane,545.06,,0.0,Harris County Sheriff's Office,S28813,"Perez Garcia, Hiram J",,,,,,2005-11-01,3218754.0,,M ,W,60.0,60.0,257.2,257.2,317.2,0.0,11/14/2024,,200.0,Non Appearance Show Cause,06/10/2024,13:30,Arrest Warrant,11/14/2024,JP 1-1,CRCIT,17.0,1,1,0,1,orAc20051101
231100387905,"Precinct 1, Place 1",00-EE20224527,2023-10-23,820112,No Driver's License,521.021,,0.0,Harris County Sheriff's Office,S00806,"Hernandez, Josue O",,,,,,2006-03-01,,,M ,W,98.0,98.0,199.7,199.7,297.7,0.0,09/13/2024,,200.0,Non Appearance Show Cause,03/18/2024,14:00,Arrest Warrant,09/13/2024,JP 1-1,CRCIT,17.0,1,1,0,1,enZa20060301
231100388125,"Precinct 1, Place 1",01-EE20046794,2023-10-23,820697,Ran Red Light,544.007,,1.0,Harris County Constable Precinct 1,C10595,"Palizo, Alex",,,,,,2006-04-01,,,M ,W,110.0,110.0,272.2,272.2,382.2,0.0,09/04/2024,,200.0,Non Appearance Show Cause,03/04/2024,15:00,Arrest Warrant,09/04/2024,JP 1-1,CRCIT,17.0,1,1,0,1,anGeMe20060401
231100388126,"Precinct 1, Place 1",01-EE20046794,2023-10-23,820112,No Driver's License,521.021,,1.0,Harris County Constable Precinct 1,C10595,"Palizo, Alex",,,,,,2006-04-01,,,M ,W,98.0,98.0,199.7,199.7,297.7,0.0,09/04/2024,,200.0,Non Appearance Show Cause,03/04/2024,15:00,Arrest Warrant,09/04/2024,JP 1-1,CRCIT,17.0,1,1,0,1,anGeMe20060401
241100001539,"Precinct 1, Place 1",01-EE20048382,2024-01-02,820112,No Driver's License,521.021,,1.0,Harris County Constable Precinct 1,C10962,"Early, Trevian",,,,,,2006-05-01,,,M ,B,98.0,98.0,199.7,199.7,297.7,0.0,10/30/2024,,200.0,Non Appearance Show Cause,05/13/2024,13:30,Arrest Warrant,10/30/2024,JP 1-1,CRCIT,17.0,1,1,0,1,eyAn20060501
241100001540,"Precinct 1, Place 1",01-EE20048382,2024-01-02,820697,Ran Red Light,544.007,,1.0,Harris County Constable Precinct 1,C10962,"Early, Trevian",,,,,,2006-05-01,,,M ,B,110.0,110.0,272.2,272.2,382.2,0.0,10/30/2024,,200.0,Non Appearance Show Cause,05/13/2024,13:30,Arrest Warrant,10/30/2024,JP 1-1,CRCIT,17.0,1,1,0,1,eyAn20060501
241100147346,"Precinct 1, Place 1",00-EE20245916,2024-04-22,820108,Expired Registration,502.407,,0.0,Harris County Sheriff's Office,S00832,"Vela, Eduardo F",NG,05/23/2024,,,,2007-01-01,,,M ,W,18.0,18.0,175.7,175.7,193.7,0.0,01/07/2025,,200.0,Jury Trial,08/01/2024,08:00,Arrest Warrant,01/07/2025,JP 1-1,CRCIT,17.0,1,1,0,1,seAnGo20070101
241100147347,"Precinct 1, Place 1",00-EE20245916,2024-04-22,820112,No Driver's License,521.021,,0.0,Harris County Sheriff's Office,S00832,"Vela, Eduardo F",NG,05/23/2024,,,,2007-01-01,,,M ,W,98.0,98.0,199.7,199.7,297.7,0.0,01/07/2025,,200.0,Jury Trial,08/01/2024,08:00,Arrest Warrant,01/07/2025,JP 1-1,CRCIT,17.0,1,1,0,1,seAnGo20070101
241100147348,"Precinct 1, Place 1",00-EE20245916,2024-04-22,540097,Fail To Maintain Financial Responsibility,601.191,,0.0,Harris County Sheriff's Office,S00832,"Vela, Eduardo F",NG,05/23/2024,,,,2007-01-01,,,M ,W,253.0,253.0,246.2,246.2,499.2,0.0,01/07/2025,,500.0,Jury Trial,08/01/2024,08:00,Arrest Warrant,01/07/2025,JP 1-1,CRCIT,17.0,1,1,0,1,seAnGo20070101
233100008134,"Precinct 3, Place 1",00-EE20187057,2023-01-08,820170,Fail To Drive In Single Lane,545.06,,0.0,Harris County Sheriff's Office,S29925,"Nguyen, Duy Quoc",,,,,,2005-02-01,,,M ,W,60.0,60.0,257.2,257.2,317.2,0.0,03/05/2024,,200.0,Non Appearance Show Cause,06/02/2023,10:00,Arrest Warrant,07/17/2024,JP 3-1,CRCIT,17.0,1,1,0,1,isRo20050201
233100008135,"Precinct 3, Place 1",00-EE20187057,2023-01-08,820112,No Driver's License,521.021,,0.0,Harris County Sheriff's Office,S29925,"Nguyen, Duy Quoc",,,,,,2005-02-01,,,M ,W,98.0,98.0,199.7,199.7,297.7,0.0,03/05/2024,,200.0,Non Appearance Show Cause,06/02/2023,10:00,Arrest Warrant,07/17/2024,JP 3-1,CRCIT,17.0,1,1,0,1,isRo20050201
