Case Number,Case Subtype,Case File Date,Claim Amount,Case Status,Next Hearing Desc,Next Hearing Date,Disposition Desc,Disposition Date,Judgment Text,Judgment Date,Judgment Amount,Attorney Fees,Court Costs,Pre-Judg Int Rate,Post-Judg Int Rate,PATT,DATT,JFP,JFD
231200002038,Cruelly Treated Animal,01/03/2023,,Disposed,Judge Trial,01/09/2023,Trial or Hearing by Judge (OCA),01/09/2023,,,,,,,,0,0,,
231200002164,Eviction,01/03/2023,7560.0,Appeal,Eviction Docket,02/14/2023,Appeal Filed,02/21/2023,Default Judgment,02/14/2023,6615.0,0.0,129.0,0.0,7.5,0,0,0.0,0.0
231200002208,Cruelly Treated Animal,01/03/2023,,Disposed,Judge Trial,01/09/2023,Trial or Hearing by Judge (OCA),01/09/2023,,,,,,,,0,0,,
231200002215,Eviction,01/03/2023,1150.0,Disposed,Eviction Docket,02/15/2023,Default Judgment (OCA),02/15/2023,Default Judgment,02/15/2023,1625.0,0.0,129.0,0.0,7.5,0,0,0.0,0.0
231200002244,Small Claims,01/03/2023,808.31,Disposed,,,Agreed Judgment (OCA),03/27/2023,Agreed Judgment,03/27/2023,808.31,0.0,129.0,0.0,,1,0,0.0,0.0
231200002368,Eviction,01/03/2023,1707.65,Dismissed,,,Non-suited or Dismissed by Plaintiff (OCA),01/05/2023,,,,,,,,0,0,,
231200002384,Eviction,01/03/2023,1775.0,Dismissed,Eviction Docket,01/31/2023,Non-suited or Dismissed by Plaintiff (OCA),02/09/2023,,,,,,,,0,0,,
231200002406,Debt Claim,01/03/2023,3225.48,Active,Judge Trial,09/16/2024,,,,,,,,,,1,1,,
231200002407,Eviction,01/03/2023,1624.0,Disposed,Eviction Docket,01/31/2023,All Other Dispositions (OCA),01/31/2023,,,,,,,,0,0,,
231200002408,Debt Claim,01/03/2023,1821.98,Active,Intent to Dismiss for Want of Prosecution,04/08/2024,,,,,,,,,,1,0,,
231200002411,Debt Claim,01/03/2023,1963.43,Dismissed,,,Non-suited or Dismissed by Plaintiff (OCA),02/09/2023,,,,,,,,1,0,,
231200002413,Debt Claim,01/03/2023,3325.02,Disposed,Judge Trial,05/20/2024,Agreed Judgment (OCA),02/26/2024,Agreed Judgment,02/26/2024,3325.02,0.0,132.0,0.0,,1,1,0.0,0.0
231200002414,Debt Claim,01/03/2023,5798.67,Dismissed,,,Non-suited or Dismissed by Plaintiff (OCA),02/08/2023,,,,,,,,1,0,,
231200002416,Debt Claim,01/03/2023,3841.34,Disposed,Default Docket,02/26/2024,Default Judgment (OCA),02/26/2024,Default Judgment,02/26/2024,3841.34,0.0,132.0,0.0,,1,0,0.0,0.0
231200002417,Debt Claim,01/03/2023,1848.72,Active,Judge Trial,09/12/2024,,,,,,,,,,1,0,,
231200002419,Debt Claim,01/03/2023,6464.71,Disposed,,,All Other Dispositions (OCA),02/06/2023,,,,,,,,1,0,,
231200002421,Debt Claim,01/03/2023,2602.14,Disposed,,,All Other Dispositions (OCA),03/10/2024,,,,,,,,1,1,,
231200002434,Debt Claim,01/03/2023,5186.97,Disposed,Default Docket,02/26/2024,Default Judgment (OCA),02/26/2024,Default Judgment,02/26/2024,5186.97,0.0,132.0,0.0,,1,0,0.0,0.0
231200002436,Debt Claim,01/03/2023,2260.05,Active,Intent to Dismiss for Want of Prosecution,04/08/2024,,,,,,,,,,1,0,,
231200002437,Debt Claim,01/03/2023,1822.54,Disposed,,,Agreed Judgment (OCA),06/26/2023,Agreed Judgment,06/26/2023,1822.54,0.0,131.0,0.0,8.0,1,1,0.0,0.0
231200002468,Debt Claim,01/03/2023,1893.51,Dismissed,Intent to Dismiss for Want of Prosecution,05/10/2024,Dismissed for Want of Prosecution (OCA),05/10/2024,,,,,,,,1,0,,
231200002481,Eviction,01/03/2023,1749.87,Disposed,Eviction Docket,02/14/2023,Default Judgment (OCA),02/14/2023,Default Judgment,02/14/2023,4216.0,0.0,129.0,0.0,7.5,0,0,0.0,0.0
231200002542,Eviction,01/03/2023,1660.0,Dismissed,,,Non-suited or Dismissed by Plaintiff (OCA),01/05/2023,,,,,,,,0,0,,
231200002549,Eviction,01/03/2023,1400.0,Disposed,Eviction Docket,01/31/2023,Trial or Hearing by Judge (OCA),01/31/2023,Final Judgment,01/31/2023,3800.0,0.0,129.0,0.0,7.5,0,0,0.0,0.0
231200002586,Eviction,01/03/2023,2480.0,Dismissed,Eviction Docket,02/15/2023,Non-suited or Dismissed by Plaintiff (OCA),02/06/2023,,,,,,,,0,0,,
231200002600,Eviction,01/03/2023,880.0,Appeal,Eviction Docket,02/14/2023,Appeal Filed,02/20/2023,Final Judgment,02/14/2023,2200.0,0.0,129.0,0.0,7.5,0,0,0.0,0.0
231200002601,Eviction,01/03/2023,700.0,Dismissed,Intent to Dismiss for Want of Prosecution,02/15/2023,Non-suited or Dismissed by Plaintiff (OCA),02/15/2023,,,,,,,,0,0,,
231200002603,Eviction,01/03/2023,1590.0,Disposed,Eviction Docket,01/31/2023,All Other Dispositions (OCA),01/19/2023,,,,,,,,0,0,,
