Case Number,Case Subtype,Case File Date,Claim Amount,Case Status,Next Hearing Desc,Next Hearing Date,Disposition Desc,Disposition Date,Judgment Text,Judgment Date,Judgment Amount,Attorney Fees,Court Costs,Pre-Judg Int Rate,Post-Judg Int Rate,PATT,DATT,JFP,JFD
201200162120,Debt Claim,06/18/2020,5000.0,Disposed,Hearing,01/18/2023,Default Judgment (OCA),01/18/2023,Default Judgment,01/18/2023,5000.0,0.0,124.0,0.0,7.5,0,0,0,0
201200286941,Small Claims,11/09/2020,6150.0,Appeal,Judge Trial,01/23/2023,Appeal Filed,02/10/2023,Final Judgment,01/23/2023,4095.0,1050.0,124.0,0.0,7.5,1,0,0,0
201200309206,Small Claims,10/16/2020,9673.9,Disposed,Hearing,01/18/2023,Trial or Hearing by Judge (OCA),01/18/2023,Default Judgment,01/18/2023,7000.0,0.0,124.0,0.0,7.5,0,0,0,0
211200038704,Small Claims,02/05/2021,913.58,Disposed,Hearing,01/18/2023,Default Judgment (OCA),01/18/2023,Default Judgment,01/18/2023,751.0,0.0,124.0,0.0,7.5,0,0,0,0
211200079176,Small Claims,03/11/2021,4270.0,Disposed,Judge Trial,11/02/2023,Trial or Hearing by Judge (OCA),11/02/2023,Final Judgment,11/02/2023,0.0,0.0,0.0,0.0,,0,0,0,0
211200101136,Small Claims,04/13/2021,2000.0,Disposed,Judge Trial,01/18/2023,Trial or Hearing by Judge (OCA),01/18/2023,Default Judgment,01/18/2023,2000.0,0.0,124.0,0.0,7.5,0,0,0,0
211200287812,Small Claims,10/06/2021,4500.0,Disposed,Hearing,01/18/2023,Default Judgment (OCA),01/18/2023,Default Judgment,01/18/2023,3500.0,0.0,274.0,0.0,7.5,0,0,0,0
221200029369,Small Claims,01/24/2022,9537.0,Disposed,Hearing,01/18/2023,Trial or Hearing by Judge (OCA),01/18/2023,Summary Disposition,01/18/2023,0.0,0.0,0.0,0.0,,0,0,0,0
221200100368,Small Claims,03/25/2022,19270.06,Disposed,Hearing,01/18/2023,Default Judgment (OCA),01/18/2023,Default Judgment,01/18/2023,9270.06,0.0,364.0,0.0,7.5,0,0,0,0
221200119772,Small Claims,04/11/2022,18821.0,Active,Hearing,02/23/2023,Appeal Filed,02/06/2023,Summary Disposition,01/18/2023,0.0,0.0,0.0,0.0,,1,1,0,0
221200277602,Eviction,08/11/2022,0.0,Appeal,Eviction Docket,01/10/2023,Appeal Filed,01/17/2023,Final Judgment,01/10/2023,6289.58,0.0,129.0,0.0,,0,0,0,0
221200330433,Eviction,09/20/2022,1175.0,Disposed,Eviction Docket,01/10/2023,Default Judgment (OCA),01/10/2023,Default Judgment,01/10/2023,3416.0,0.0,129.0,0.0,7.5,0,0,0,0
221200331978,Eviction,09/20/2022,1970.0,Disposed,Eviction Docket,01/12/2023,Default Judgment (OCA),01/12/2023,Default Judgment,01/12/2023,5306.0,0.0,129.0,0.0,7.5,0,0,0,0
221200333566,Eviction,09/20/2022,2248.0,Disposed,Eviction Docket,01/12/2023,Default Judgment (OCA),01/12/2023,Default Judgment,01/12/2023,6055.0,0.0,129.0,0.0,7.5,0,0,0,0
221200350028,Eviction,10/05/2022,1425.0,Appeal,Eviction Docket,01/10/2023,Appeal Filed,01/18/2023,Default Judgment,01/10/2023,6159.67,0.0,129.0,0.0,7.5,0,0,0,0
221200362837,Eviction,10/13/2022,670.0,Disposed,Eviction Docket,01/10/2023,Trial or Hearing by Judge (OCA),01/10/2023,Final Judgment,01/10/2023,2954.19,0.0,129.0,0.0,7.5,0,0,0,0
221200408992,Eviction,11/15/2022,1634.0,Disposed,Eviction Docket,01/19/2023,Default Judgment (OCA),01/19/2023,Default Judgment,01/19/2023,4269.0,0.0,129.0,0.0,7.5,0,0,0,0
221200409612,Eviction,11/16/2022,1860.0,Appeal,Eviction Docket,01/10/2023,Appeal Filed,01/17/2023,Default Judgment,01/10/2023,4320.0,0.0,129.0,0.0,7.5,0,0,0,0
221200415369,Eviction,11/21/2022,1745.0,Disposed,Eviction Docket,01/10/2023,Default Judgment (OCA),01/10/2023,Default Judgment,01/10/2023,3996.61,0.0,129.0,0.0,7.5,0,0,0,0
221200418452,Eviction,11/23/2022,5025.0,Disposed,Eviction Docket,01/10/2023,Default Judgment (OCA),01/10/2023,Default Judgment,01/10/2023,6354.19,0.0,129.0,0.0,7.5,0,0,0,0
221200423118,Eviction,11/22/2022,11299.01,Disposed,Eviction Docket,01/10/2023,Trial or Hearing by Judge (OCA),01/10/2023,Final Judgment,01/10/2023,0.0,0.0,129.0,0.0,7.5,0,0,0,0
221200423176,Eviction,11/22/2022,1539.5,Appeal,Eviction Docket,01/10/2023,Appeal Filed,01/18/2023,Final Judgment,01/10/2023,2156.0,0.0,129.0,0.0,7.5,0,0,0,0
221200423405,Eviction,11/23/2022,980.96,Appeal,Eviction Docket,01/11/2023,Appeal Filed,01/17/2023,Default Judgment,01/11/2023,2341.0,0.0,129.0,0.0,7.5,0,0,0,0
221200423434,Eviction,11/23/2022,1370.6,Disposed,Eviction Docket,01/11/2023,Trial or Hearing by Judge (OCA),01/11/2023,Final Judgment,01/11/2023,0.0,0.0,0.0,0.0,,0,0,0,0
221200423453,Eviction,11/23/2022,,Disposed,Eviction Docket,01/10/2023,Default Judgment (OCA),01/10/2023,Default Judgment,01/10/2023,2993.27,0.0,129.0,0.0,7.5,0,0,0,0
221200426217,Eviction,11/28/2022,2600.0,Disposed,Eviction Docket,01/19/2023,Default Judgment (OCA),01/19/2023,Default Judgment,01/19/2023,4696.0,500.0,129.0,0.0,7.5,1,0,0,0
221200426272,Eviction,11/29/2022,19160.0,Disposed,Eviction Docket,01/10/2023,Default Judgment (OCA),01/10/2023,Default Judgment,01/10/2023,1916.0,1000.0,129.0,0.0,7.5,1,0,0,0
221200426755,Eviction,11/30/2022,4715.0,Appeal,Eviction Docket,01/12/2023,Appeal Filed,01/18/2023,Default Judgment,01/12/2023,0.0,750.0,129.0,0.0,7.5,1,0,0,0
221200426757,Eviction,11/30/2022,5880.0,Appeal,Eviction Docket,01/12/2023,Appeal Filed,01/18/2023,Default Judgment,01/12/2023,0.0,750.0,129.0,0.0,7.5,1,0,0,0
221200426772,Eviction,11/30/2022,4400.0,Appeal,Eviction Docket,01/12/2023,Appeal Filed,01/17/2023,Default Judgment,01/12/2023,6100.0,0.0,129.0,0.0,7.5,0,0,0,0
221200428794,Eviction,11/30/2022,,Disposed,Eviction Docket,01/24/2023,All Other Dispositions (OCA),01/24/2023,Default Judgment,01/24/2023,0.0,0.0,129.0,0.0,7.5,1,0,0,0
221200428795,Eviction,11/30/2022,,Disposed,Eviction Docket,01/10/2023,Default Judgment (OCA),01/10/2023,Default Judgment,01/10/2023,6023.0,0.0,129.0,0.0,7.5,0,0,0,0
221200428797,Eviction,12/01/2022,2099.0,Dismissed,,,Non-suited or Dismissed by Plaintiff (OCA),03/14/2023,Default Judgment,01/10/2023,3481.55,140.0,129.0,0.0,7.5,1,0,0,0
221200428798,Eviction,12/01/2022,,Appeal,Eviction Docket,01/10/2023,Appeal Filed,01/17/2023,Default Judgment,01/10/2023,3481.55,140.0,129.0,0.0,7.5,1,0,0,0
221200429633,Eviction,12/02/2022,1550.5,Disposed,Eviction Docket,01/10/2023,Default Judgment (OCA),01/10/2023,Default Judgment,01/10/2023,4480.01,0.0,129.0,0.0,7.5,0,0,0,0
221200433679,Eviction,12/01/2022,6360.0,Appeal,Eviction Docket,01/10/2023,Appeal Filed,01/17/2023,Default Judgment,01/10/2023,7327.75,995.0,129.0,0.0,7.5,1,0,0,0
221200433689,Eviction,12/01/2022,979.0,Disposed,Eviction Docket,01/10/2023,Default Judgment (OCA),01/10/2023,Default Judgment,01/10/2023,2516.72,0.0,204.0,0.0,7.5,0,0,0,0
221200433695,Eviction,12/02/2022,5227.25,Appeal,Eviction Docket,01/10/2023,Appeal Filed,01/17/2023,Default Judgment,01/10/2023,5030.0,0.0,129.0,0.0,7.5,0,0,0,0
221200433702,Eviction,12/02/2022,0.0,Disposed,Eviction Docket,01/10/2023,Default Judgment (OCA),01/10/2023,Default Judgment,01/10/2023,0.0,0.0,129.0,0.0,7.5,0,0,0,0
221200433714,Eviction,12/02/2022,6090.0,Appeal,Eviction Docket,01/31/2023,Appeal Filed,02/06/2023,Final Judgment,01/31/2023,12610.0,0.0,129.0,0.0,7.5,0,0,0,0
221200433800,Eviction,12/05/2022,5250.01,Disposed,Eviction Docket,01/10/2023,Default Judgment (OCA),01/10/2023,Default Judgment,01/10/2023,7821.67,0.0,129.0,0.0,7.5,0,0,0,0
221200433827,Eviction,12/06/2022,1449.0,Disposed,Eviction Docket,01/11/2023,Default Judgment (OCA),01/11/2023,Default Judgment,01/11/2023,3412.16,0.0,129.0,0.0,7.5,1,0,0,0
221200433833,Eviction,12/06/2022,2468.4,Disposed,Eviction Docket,01/11/2023,Default Judgment (OCA),01/11/2023,Default Judgment,01/11/2023,5284.26,650.0,129.0,0.0,7.5,1,0,0,0
221200433838,Eviction,12/06/2022,7215.0,Disposed,Eviction Docket,01/11/2023,Default Judgment (OCA),01/11/2023,Default Judgment,01/11/2023,5000.0,0.0,129.0,0.0,7.5,0,0,0,0
221200433846,Eviction,12/06/2022,4900.0,Disposed,Eviction Docket,01/11/2023,Default Judgment (OCA),01/11/2023,Default Judgment,01/11/2023,5319.35,0.0,129.0,0.0,7.5,0,0,0,0
221200433853,Eviction,12/06/2022,3205.0,Disposed,Eviction Docket,01/11/2023,Default Judgment (OCA),01/11/2023,Default Judgment,01/11/2023,3000.0,0.0,129.0,0.0,7.5,0,0,0,0
