Court,Date,Crim Total New,Crim Reactive,Crim Uncontest Dispo,Dismissed by Pro PreCourtTrial,Total Dispo PreCourtTrial,Guilty Plea or Nolo Contend,Guilty by Court,Guilty by Jury,Court Aquittals,Jury Aquittals,Dismissed by Pro AtCourtTrial,Total Dispo AtCourtTrial,Compliance Dismissals,Crim Total Disposed,Crim NonPark Active,Crim NonPark Inactive,Crim NonPark Total,Crim Park Active,Crim Park Inactive,Crim Park Total,Crim County Ord TM Active,Crim County Ord TM Inactive,Crim County Ord TM Total,Crim Penal Code Active,Crim Penal Code Inactive,Crim Penal Code Total,Crim OSL Active,Crim OSL Inactive,Crim OSL Total,Crim Count Ord NT Active,Crim Count Ord NT Inactive,Crim Count Ord NT Total,Crim Total Docket,Crim Active Cases,Crim Inactive Cases,Crim Appeal AfterTrial ,Crim Appeal NoTrial,Civil Total New,Civil Active Cases,Civil Inactive Cases,Civil Total Disposed,Civil Total Docket,Crim Made Inactive,EV on Docket,SC on Docket,DC on Docket,DC Agreed J,EV Agreed J,SC Agreed J,Total Agreed J,DC TrialHearing,EV TrialHearing,SC TrialHearing,Total Trial Hearing,DC Jury Trial,EV Jury Trial,SC Jury Trial,Total Jury Trial,DC DiWOP,EV DiWOP,SC DiWOP,Total DiWOP,DC NSDP,EV NSDP,SC NSDP,Total NSDP,DC Other Disp,EV Other Disp,SC Other Disp,Total Other Disp,DC Total New,EV Total New,SC Total New,DC DJ,DC Disposed,EV DJ,EV Disposed,SC DJ,SC Disposed,Total DJ,Class AB Warrants,Search Warrants,Felony Warrants,Class C Warrants,Jail Credit Cases,Total Fines
Precinct 1 Place 1,1/2020,"1,388","1,057",127,6,133,105,44,11,0,0,"1,274","1,434",180,"2,290","11,452","27,597","13,835",69,82,70,0,0,0,393,334,425,312,335,338,66,96,69,"14,737","12,292","28,444",0,0,"1,062","7,227",63,472,"7,701",372,515,"1,857","5,329",6,2,0,8,0,39,1,40,0,0,0,0,22,0,16,38,140,50,26,216,12,47,9,68,428,376,258,0,180,102,240,0,52,102,0,0,0,372,547,"$172,797"
Precinct 1 Place 1,1/2020,"1,472",879,188,3,191,130,80,20,0,0,955,"1,185",153,"1,946","11,331","26,927","13,586",63,83,67,0,0,0,390,325,424,304,329,355,63,95,70,"14,502","12,151","27,759",0,0,626,"6,972",63,897,"7,869",139,550,"1,854","5,465",27,4,0,31,24,51,4,79,0,0,0,0,8,0,20,28,337,62,31,430,7,83,9,99,317,275,34,62,465,141,341,27,91,230,0,0,0,139,419,"$189,497"
Precinct 1 Place 1,1/2020,"1,095",384,209,2,211,60,28,5,0,0,238,331,145,901,"11,668","26,232","13,105",61,83,62,0,0,0,385,313,398,285,302,311,65,90,67,"13,943","12,464","27,020",0,0,458,"7,135",63,301,"7,436",368,362,"1,805","5,269",15,4,0,19,0,14,1,15,0,0,0,0,7,0,7,14,55,35,13,103,10,78,1,89,270,153,35,0,87,61,192,0,22,61,0,0,0,368,223,"$158,290"
Precinct 1 Place 1,1/2020,362,147,134,0,134,8,7,0,0,0,3,18,74,288,"11,872","26,208","12,362",56,83,61,0,0,0,385,315,395,297,308,301,63,90,63,"13,182","12,673","27,004",0,0,720,"7,509",63,86,"7,595",0,261,"1,862","5,472",14,0,1,15,0,0,1,1,0,0,0,0,0,0,0,0,37,5,12,54,6,0,10,16,290,91,339,0,57,0,5,0,24,0,0,0,0,0,66,"$74,701"
Precinct 1 Place 1,1/2020,886,417,158,8,166,20,9,0,0,0,466,495,101,902,"12,186","26,069","13,442",59,81,65,0,0,0,414,313,427,305,308,332,62,90,63,"14,329","13,026","26,861",0,0,466,"7,866",63,109,"7,975",0,395,"1,879","5,701",12,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,39,33,9,81,8,2,5,15,286,139,41,0,59,0,35,0,15,0,0,0,0,0,145,"$99,128"
Precinct 1 Place 1,1/2020,810,"1,156",153,1,154,36,19,0,0,0,968,"1,023",123,"1,419","12,654","25,666","14,521",62,80,68,0,0,0,411,307,452,312,302,363,63,89,64,"15,468","13,502","26,444",0,0,464,"8,127",65,213,"8,341",490,512,"1,919","5,910",3,0,8,11,0,22,0,22,0,0,0,0,0,0,0,0,15,51,12,78,9,57,9,75,266,152,46,0,27,27,157,0,29,27,0,0,0,490,121,"$105,867"
Precinct 1 Place 1,1/2020,934,369,180,3,183,82,81,0,0,0,363,526,85,923,"12,749","25,052","13,987",59,77,61,0,0,0,424,281,450,331,279,367,61,89,62,"14,927","13,624","25,778",0,0,696,"8,622",65,203,"8,825",145,529,"1,927","6,369",4,0,0,4,0,1,1,2,0,0,0,0,0,0,0,0,124,39,14,177,6,6,7,19,487,175,34,0,134,1,47,0,22,1,0,0,0,145,131,"$162,006"
Precinct 1 Place 1,1/2020,"1,045",392,161,0,161,52,38,0,0,0,117,207,44,532,"12,984","24,865","14,374",60,77,65,0,0,0,437,272,455,324,252,348,60,88,60,"15,302","13,865","25,554",0,0,418,"8,385",65,657,"9,042",27,645,"1,937","6,460",11,0,9,20,2,69,2,73,0,0,0,0,0,0,0,0,65,53,6,124,250,85,3,338,225,163,30,0,328,102,309,0,20,102,0,0,0,27,121,"$121,138"
Precinct 1 Place 1,1/2020,"1,057",885,144,0,144,47,24,0,0,0,"1,109","1,180",52,"1,471","13,835","24,511","15,656",62,75,75,0,0,0,452,271,490,345,245,415,59,88,59,"16,695","14,753","25,190",0,0,427,"6,825",67,"1,990","8,817",0,409,"1,986","6,422",10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,219,26,10,255,"1,681",33,11,"1,725",291,73,63,0,"1,910",0,59,0,21,0,0,0,0,0,98,"$106,540"
Precinct 1 Place 1,1/2020,"1,028","1,152",138,1,139,62,43,0,0,0,513,618,176,"1,066","14,316","23,709","16,412",62,64,65,0,0,0,467,255,488,344,189,402,57,88,59,"17,426","15,246","24,305",0,0,385,"6,963",67,252,"7,215",0,454,"2,022","4,739",14,0,0,14,0,8,0,8,0,0,0,0,0,0,0,0,28,13,16,57,116,34,13,163,230,104,51,0,158,10,65,0,29,10,0,0,0,0,134,"$93,435"
